nama_pemain,klub,posisi,umur,market_value,negara,jumlah_goal,jumlah_asis,jumlah_match
Gabriel Martinelli,Arsenal,Sayap Kiri,24,"Rp782,17Mlyr.",Brasil,N/A (Lihat Catatan),N/A (Lihat Catatan),N/A (Lihat Catatan)
Leandro Trossard,Arsenal,Sayap Kiri,30,"Rp382,40Mlyr.",Belgia,N/A (Lihat Catatan),N/A (Lihat Catatan),N/A (Lihat Catatan)
Bukayo Saka,Arsenal,Sayap Kanan,24,"Rp2.433,43Mlyr.",Inggris,N/A (Lihat Catatan),N/A (Lihat Catatan),N/A (Lihat Catatan)
Noni Madueke,Arsenal,Sayap Kanan,23,"Rp869,08Mlyr.",Inggris,N/A (Lihat Catatan),N/A (Lihat Catatan),N/A (Lihat Catatan)
Max Dowman,Arsenal,Sayap Kanan,15,-,Inggris,N/A (Lihat Catatan),N/A (Lihat Catatan),N/A (Lihat Catatan)
Viktor Gyökeres,Arsenal,Depan-Tengah,27,"Rp1.303,62Mlyr.",Swedia,N/A (Lihat Catatan),N/A (Lihat Catatan),N/A (Lihat Catatan)
Kai Havertz,Arsenal,Depan-Tengah,26,"Rp1.042,90Mlyr.",Jerman,N/A (Lihat Catatan),N/A (Lihat Catatan),N/A (Lihat Catatan)
Gabriel Jesus,Arsenal,Depan-Tengah,28,"Rp434,54Mlyr.",Brasil,N/A (Lihat Catatan),N/A (Lihat Catatan),N/A (Lihat Catatan)
Gianluigi Donnarumma,Manchester City,Kiper,26,"Rp695,27Mlyr.",Italia,N/A (Lihat Catatan),N/A (Lihat Catatan),N/A (Lihat Catatan)
James Trafford,Manchester City,Kiper,23,"Rp521,45Mlyr.",Inggris,N/A (Lihat Catatan),N/A (Lihat Catatan),N/A (Lihat Catatan)
Stefan Ortega,Manchester City,Kiper,32,"Rp104,29Mlyr.",Jerman,N/A (Lihat Catatan),N/A (Lihat Catatan),N/A (Lihat Catatan)
Marcus Bettinelli,Manchester City,Kiper,33,"Rp10,43Mlyr.",Inggris,N/A (Lihat Catatan),N/A (Lihat Catatan),N/A (Lihat Catatan)
Josko Gvardiol,Manchester City,Bek-Tengah,23,"Rp1.303,62Mlyr.",Kroasia,N/A (Lihat Catatan),N/A (Lihat Catatan),N/A (Lihat Catatan)
Rúben Dias,Manchester City,Bek-Tengah,28,"Rp1.042,90Mlyr.",Portugal,N/A (Lihat Catatan),N/A (Lihat Catatan),N/A (Lihat Catatan)
Abdukodir Khusanov,Manchester City,Bek-Tengah,21,"Rp608,36Mlyr.",Uzbekistan,N/A (Lihat Catatan),N/A (Lihat Catatan),N/A (Lihat Catatan)
John Stones,Manchester City,Bek-Tengah,31,"Rp382,40Mlyr.",Inggris,N/A (Lihat Catatan),N/A (Lihat Catatan),N/A (Lihat Catatan)
Nathan Aké,Manchester City,Bek-Tengah,30,"Rp382,40Mlyr.",Belanda,N/A (Lihat Catatan),N/A (Lihat Catatan),N/A (Lihat Catatan)
Rayan Aït-Nouri,Manchester City,Bek-Kiri,24,"Rp695,27Mlyr.",Aljazair,N/A (Lihat Catatan),N/A (Lihat Catatan),N/A (Lihat Catatan)
Nico O'Reilly,Manchester City,Bek-Kiri,20,"Rp521,45Mlyr.",Inggris,N/A (Lihat Catatan),N/A (Lihat Catatan),N/A (Lihat Catatan)
Rico Lewis,Manchester City,Bek-Kanan,20,"Rp695,27Mlyr.",Inggris,N/A (Lihat Catatan),N/A (Lihat Catatan),N/A (Lihat Catatan)
Matheus Nunes,Manchester City,Bek-Kanan,27,"Rp608,36Mlyr.",Portugal,N/A (Lihat Catatan),N/A (Lihat Catatan),N/A (Lihat Catatan)
Rodri,Manchester City,Gel. Bertahan,29,"Rp1.564,35Mlyr.",Spanyol,N/A (Lihat Catatan),N/A (Lihat Catatan),N/A (Lihat Catatan)
