nama_pemain,klub,posisi,umur,market_value,negara,jumlah_goal,jumlah_asis,jumlah_match,url profile
Curtis Jones,Liverpool,Gel. Tengah,24,"Rp782,17Mlyr.",Inggris,60,36,270,https://img.a.transfermarkt.technology/portrait/header/433188-1701681163.jpg?lm=1
Trey Nyoni,Liverpool,Gel. Tengah,18,"Rp104,29Mlyr.",Inggris,9,4,69,https://img.a.transfermarkt.technology/portrait/header/1045123-1708933240.jpg?lm=1
Florian Wirtz,Liverpool,Gel. Serang,22,"Rp2.259,61Mlyr.",Jerman,71,72,236,https://img.a.transfermarkt.technology/portrait/header/598577-1689710503.jpg?lm=1
Dominik Szoboszlai,Liverpool,Gel. Serang,24,"Rp1.477,44Mlyr.",Hungaria,80,89,331,https://img.a.transfermarkt.technology/portrait/header/451276-1758715234.jpg?lm=1
Cody Gakpo,Liverpool,Sayap Kiri,26,"Rp1.216,71Mlyr.",Belanda,126,77,359,https://img.a.transfermarkt.technology/portrait/header/434675-1682690965.jpg?lm=1
Rio Ngumoha,Liverpool,Sayap Kiri,17,"Rp260,72Mlyr.",Prancis,4,5,40,https://img.a.transfermarkt.technology/portrait/header/1108466-1730834754.jpg?lm=1
Mohamed Salah,Liverpool,Sayap Kanan,33,"Rp782,17Mlyr.",Mesir,325,164,664,https://img.a.transfermarkt.technology/portrait/header/148455-1727337594.jpg?lm=1
Federico Chiesa,Liverpool,Sayap Kanan,27,"Rp312,87Mlyr.",Italia,81,59,345,https://img.a.transfermarkt.technology/portrait/header/341092-1663576975.jpg?lm=1
Alexander Isak,Liverpool,Depan-Tengah,26,"Rp2.433,43Mlyr.",Swedia,145,31,331,https://img.a.transfermarkt.technology/portrait/header/349066-1680791339.jpg?lm=1
Hugo Ekitiké,Liverpool,Depan-Tengah,23,"Rp1.477,44Mlyr.",Prancis,55,26,162,https://img.a.transfermarkt.technology/portrait/header/709726-1758714741.jpg?lm=1
